"tract_id","median_rent","median_value","median_income","median_year_built","avg_household_size"
"34017004300",1102,292300,61655,1939,3
"34017004400",869,278100,19054,1952,2
"34017004500",1134,341400,31488,1965,3
"34017004600",1114,278800,35673,1946,3
"34017004700",1373,255000,53214,1939,3
"34017004800",1286,285200,57716,1954,3
"34017004900",1226,284700,48678,1945,3
"34017005200",1098,235900,31993,1951,3
"34017005300",1178,263500,36398,1951,3
"34017005400",1346,337100,95441,1988,3
"34017005500",1109,180200,40444,1968,3
"34017005600",1051,283800,44051,1947,3
"34017005801",1019,254500,34037,1955,3
"34017005802",2065,492500,139500,1998,2
"34017005900",1151,296900,61591,1959,3
"34017006000",1030,271500,41331,1943,3
"34017006100",1063,252300,48231,1967,3
"34017006200",1060,237900,35625,1962,3
"34017006300",1083,235800,32422,1955,2
"34017006400",1629,498500,98319,1939,2
"34017006500",1048,424100,57500,1939,2
"34017006600",1554,437500,108523,1974,4
"34017006700",393,410700,22679,1955,3
"34017006800",1200,198200,33250,1956,3
"34017006900",,,,1939,2
"34017007000",1546,465300,101071,1971,2
"34017007100",1070,369800,55132,1939,2
"34017007200",1932,566600,101733,1957,2
"34017007300",2385,557800,140000,2006,2
"34017007400",3011,658900,179850,,2
"34017007500",1789,506500,103347,1970,2
"34017007600",2826,685400,167201,2004,2
"34017007700",2610,625000,136742,1997,2
"34017007800",856,280000,26384,1973,2
"34017010100",1180,317400,47308,1949,3
"34017010200",1220,320100,56852,1939,2
"34017010300",1118,267000,40644,1946,3
"34017010400",1534,319800,64449,1943,3
"34017010500",1349,369500,67331,1939,2
"34017010600",1041,307500,43166,1958,2
"34017010700",1067,328900,45875,1945,3
"34017010800",1136,330600,65938,1961,3
"34017010900",911,322400,29844,1951,2
"34017011000",1242,275000,50517,1962,3
"34017011100",1206,295200,45255,1942,3
"34017011200",1360,314300,64722,1952,3
"34017011300",1045,267100,46616,1947,2
"34017011400",1264,306200,65708,1954,3
"34017011500",1256,324000,71200,1939,3
"34017011600",821,305600,46821,1949,2
"34017012300",1119,306500,62500,1939,3
